Base                Size      Path
0x000000005dff0000  0x46f000  C:\Windows\System32\SETUPAPI.dll
0x000000005dab0000  0x4e000   C:\Windows\System32\cfgmgr32.dll
0x000000005ae20000  0x2f000   C:\Windows\SYSTEM32\dwmapi.dll
0x000000005bb90000  0xd000    C:\Windows\SYSTEM32\HID.DLL
0x0000000037490000  0x2d000   C:\msys64\mingw64\bin\libcairo-script-interpreter-2.dll
0x0000000049210000  0x98000   C:\Windows\SYSTEM32\WINSPOOL.DRV
0x0000000055180000  0x27000   C:\Windows\SYSTEM32\WINMM.dll
0x0000000036dc0000  0x27000   C:\msys64\mingw64\bin\libgraphene-1.0-0.dll
0x000000000bbe0000  0xc1000   C:\msys64\mingw64\bin\libjpeg-8.dll
0x0000000000470000  0x1af000  C:\msys64\mingw64\bin\libepoxy-0.dll
0x0000000045220000  0x18000   C:\msys64\mingw64\bin\libpangocairo-1.0-0.dll
0x0000000044ec0000  0x1e000   C:\msys64\mingw64\bin\libpangowin32-1.0-0.dll
0x0000000000af0000  0x8b000   C:\msys64\mingw64\bin\libtiff-5.dll
0x0000000036d80000  0x29000   C:\msys64\mingw64\bin\liblzo2-2.dll
0x0000000042310000  0x1d000   C:\msys64\mingw64\bin\libpangoft2-1.0-0.dll
0x0000000069500000  0x17000   C:\msys64\mingw64\bin\libjbig-0.dll
0x0000000042240000  0x1b000   C:\msys64\mingw64\bin\libdeflate.dll
0x00000000003d0000  0x9c000   C:\msys64\mingw64\bin\libLerc.dll
0x0000000036850000  0x2d000   C:\msys64\mingw64\bin\liblzma-5.dll
0x000000000ae80000  0x76000   C:\msys64\mingw64\bin\libwebp-7.dll
0x00000000002f0000  0xd2000   C:\msys64\mingw64\bin\libzstd.dll
0x000000005d0d0000  0xa000    C:\Windows\SYSTEM32\DPAPI.DLL
0x000000005ac90000  0x9e000   C:\Windows\system32\uxtheme.dll
0x000000005f650000  0x115000  C:\Windows\System32\MSCTF.dll
0x000000005fa90000  0xcd000   C:\Windows\System32\OLEAUT32.dll
0x00000000420c0000  0x11000   C:\msys64\mingw64\lib\gtk-4.0\4.0.0\media\libmedia-gstreamer.dll
0x000000003f380000  0x18000   C:\msys64\mingw64\bin\libgstplayer-1.0-0.dll
0x0000000019f80000  0x6d000   C:\msys64\mingw64\bin\libgstgl-1.0-0.dll
