Base                Size      Path
0x00000000faf90000  0x27000   C:\WINDOWS\SYSTEM32\WINMM.dll
0x00000000eca00000  0x18000   C:\msys64\mingw64\bin\libpangocairo-1.0-0.dll
0x00000000a5770000  0x1af000  C:\msys64\mingw64\bin\libepoxy-0.dll
0x00000000ea1e0000  0x1d000   C:\msys64\mingw64\bin\libpangowin32-1.0-0.dll
0x00000000e9fb0000  0x1c000   C:\msys64\mingw64\bin\libpangoft2-1.0-0.dll
0x0000000002fb0000  0x9e000   C:\WINDOWS\system32\uxtheme.dll
0x00000000071c0000  0x115000  C:\WINDOWS\System32\MSCTF.dll
0x00000000060d0000  0xcd000   C:\WINDOWS\System32\OLEAUT32.dll
0x00000000061a0000  0xae000   C:\WINDOWS\System32\shcore.dll
0x00000000052e0000  0x2c000   C:\WINDOWS\SYSTEM32\DEVOBJ.dll
0x0000000005530000  0x60000   C:\WINDOWS\System32\WINTRUST.dll
0x0000000005cf0000  0x15f000  C:\WINDOWS\System32\CRYPT32.dll
0x00000000052a0000  0x12000   C:\WINDOWS\SYSTEM32\MSASN1.dll
0x0000000003470000  0x12000   C:\WINDOWS\SYSTEM32\kernel.appcore.dll
0x0000000006290000  0xa9000   C:\WINDOWS\System32\clbcatq.dll
0x00000000a37f0000  0x714000  C:\msys64\mingw64\bin\libgtk-3-0.dll
0x0000000005e50000  0xda000   C:\WINDOWS\System32\comdlg32.dll
0x00000000e51e0000  0x29a000  C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.844_none_ca00b6081b84eb1d\COMCTL32.dll
0x00000000e9370000  0x2e000   C:\msys64\mingw64\bin\libatk-1.0-0.dll
0x00000000ee5a0000  0x8e000   C:\WINDOWS\SYSTEM32\WINSPOOL.DRV
0x00000000ff050000  0x10c000  C:\WINDOWS\system32\winhttp.dll
0x0000000004cc0000  0x6a000   C:\WINDOWS\system32\mswsock.dll
0x0000000003670000  0x790000  C:\WINDOWS\SYSTEM32\windows.storage.dll
0x0000000004ed0000  0x2c000   C:\WINDOWS\System32\Wldp.dll
0x0000000005470000  0x1f000   C:\WINDOWS\SYSTEM32\profapi.dll
0x0000000001760000  0xf7000   C:\WINDOWS\system32\propsys.dll
0x00000000fe140000  0x10000   C:\msys64\mingw64\lib\gdk-pixbuf-2.0\2.10.0\loaders\libpixbufloader-png.dll
0x00000000fec10000  0x9000    C:\WINDOWS\system32\IconCodecService.dll
0x00000000fbb20000  0x1b4000  C:\WINDOWS\SYSTEM32\WindowsCodecs.dll
0x00000000fb900000  0xae000   C:\WINDOWS\SYSTEM32\mscms.dll
0x00000000053f0000  0x2e000   C:\WINDOWS\SYSTEM32\USERENV.dll
0x00000000fb780000  0x11000   C:\WINDOWS\SYSTEM32\ColorAdapterClient.dll
0x00000000e9c20000  0x43000   C:\WINDOWS\SYSTEM32\icm32.dll
0x00000000f6d80000  0xfb000   C:\WINDOWS\SYSTEM32\textinputframework.dll
0x0000000002850000  0x35e000  C:\WINDOWS\System32\CoreUIComponents.dll
0x0000000002bb0000  0xf2000   C:\WINDOWS\System32\CoreMessaging.dll
0x0000000004210000  0x33000   C:\WINDOWS\SYSTEM32\ntmarta.dll
0x0000000002030000  0x154000  C:\WINDOWS\SYSTEM32\wintypes.dll
